,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
30,30,0.8000158027812896,2021-04-12 15:16:07.735281,2021-04-12 15:16:11.267179,0 days 00:00:03.531898,0.0011703957500389859,0.7,0.22627831886232366,0.009,13,136,300,0.7,COMPLETE
31,31,0.8000158027812896,2021-04-12 15:16:11.268180,2021-04-12 15:16:13.488685,0 days 00:00:02.220505,0.04686460934301742,0.7,0.163683351476199,0.018,13,282,200,0.7,COMPLETE
32,32,0.8000158027812896,2021-04-12 15:16:13.488685,2021-04-12 15:16:15.812669,0 days 00:00:02.323984,1.5990169200258262,0.7,1.4784586529360226,0.018,15,276,200,0.7,COMPLETE
33,33,0.8000158027812896,2021-04-12 15:16:15.813668,2021-04-12 15:16:18.277682,0 days 00:00:02.464014,0.029076752938195203,0.7,0.14654012695692345,0.009,13,140,200,0.7,COMPLETE
34,34,0.8000158027812896,2021-04-12 15:16:18.279685,2021-04-12 15:16:20.495450,0 days 00:00:02.215765,0.0023413324909779885,0.7,0.32962855225658566,0.009,13,237,200,0.7,COMPLETE
35,35,0.8000158027812896,2021-04-12 15:16:20.496450,2021-04-12 15:16:23.938099,0 days 00:00:03.441649,0.003334716045187827,0.5,0.013013895741109713,0.008,9,110,300,1.0,COMPLETE
36,36,0.8000158027812896,2021-04-12 15:16:23.938099,2021-04-12 15:16:27.414639,0 days 00:00:03.476540,0.2073607178007625,0.9,0.006537606666568094,0.012,5,109,300,1.0,COMPLETE
37,37,0.8000158027812896,2021-04-12 15:16:27.416641,2021-04-12 15:16:31.021937,0 days 00:00:03.605296,0.16035373650940263,0.5,0.007315833249587811,0.01,4,73,300,0.6,COMPLETE
38,38,0.79823798988622,2021-04-12 15:16:31.022937,2021-04-12 15:17:14.035607,0 days 00:00:43.012670,0.4711292828970184,0.8,0.0026942457348389398,0.016,11,18,3000,1.0,COMPLETE
39,39,0.8000158027812896,2021-04-12 15:17:14.036608,2021-04-12 15:17:16.954834,0 days 00:00:02.918226,0.4119566252960615,0.8,0.008803466789218787,0.014,7,38,200,0.6,COMPLETE
40,40,0.8000158027812896,2021-04-12 15:17:16.955833,2021-04-12 15:17:49.302417,0 days 00:00:32.346584,0.0639193279610594,0.8,1.4430305459576427,0.014,9,54,3000,1.0,COMPLETE
41,41,0.8000158027812896,2021-04-12 15:17:49.304417,2021-04-12 15:17:51.524920,0 days 00:00:02.220503,0.3013781887031478,0.6,0.021389467396447644,0.014,5,294,200,1.0,COMPLETE
42,42,0.8000158027812896,2021-04-12 15:17:51.525921,2021-04-12 15:17:54.613109,0 days 00:00:03.087188,0.010211584146928169,1.0,8.37307274993537,0.014,5,54,200,1.0,COMPLETE
43,43,0.8000158027812896,2021-04-12 15:17:54.614110,2021-04-12 15:17:58.422609,0 days 00:00:03.808499,0.0021245046953077846,0.8,0.049942531257282326,0.018,4,22,200,0.6,COMPLETE
44,44,0.7982379898862201,2021-04-12 15:17:58.423609,2021-04-12 15:18:05.283520,0 days 00:00:06.859911,0.0013448366482695228,0.9,0.04630461876579337,0.014,15,7,200,0.6,COMPLETE
45,45,0.8000158027812896,2021-04-12 15:18:05.284520,2021-04-12 15:18:09.874947,0 days 00:00:04.590427,0.028664378615288564,0.7,3.985874459363286,0.012,15,35,300,0.7,COMPLETE
46,46,0.8000158027812896,2021-04-12 15:18:09.875461,2021-04-12 15:18:12.076693,0 days 00:00:02.201232,0.0592357085389898,0.7,0.11626363851583742,0.018,5,265,200,0.7,COMPLETE
47,47,0.8000158027812896,2021-04-12 15:18:12.076693,2021-04-12 15:18:15.927220,0 days 00:00:03.850527,0.014008618233118546,0.6,1.5196539160859708,0.01,15,69,300,0.7,COMPLETE
48,48,0.8000158027812896,2021-04-12 15:18:15.928223,2021-04-12 15:18:18.094650,0 days 00:00:02.166427,4.41405318200385,0.7,0.02006041346466538,0.018,17,246,150,0.7,COMPLETE
49,49,0.8000158027812896,2021-04-12 15:18:18.096653,2021-04-12 15:18:19.814739,0 days 00:00:01.718086,0.10483820410322141,0.7,0.49071771324772673,0.018,5,300,150,0.7,COMPLETE
50,50,0.8000158027812896,2021-04-12 15:18:19.815739,2021-04-12 15:18:22.013483,0 days 00:00:02.197744,1.356573429199805,0.7,0.0343880061346241,0.009,13,187,200,0.6,COMPLETE
51,51,0.8000158027812896,2021-04-12 15:18:22.014482,2021-04-12 15:18:25.140805,0 days 00:00:03.126323,0.001040760938347981,0.7,0.2853589004372469,0.009,13,281,300,0.7,COMPLETE
52,52,0.8000158027812896,2021-04-12 15:18:25.140805,2021-04-12 15:18:28.247598,0 days 00:00:03.106793,0.034633627878871635,0.7,0.16806032984458832,0.009,13,279,300,0.7,COMPLETE
53,53,0.8000158027812896,2021-04-12 15:18:28.248599,2021-04-12 15:18:58.695567,0 days 00:00:30.446968,0.04518687279158542,0.7,0.08283158244629543,0.009,13,225,3000,0.7,COMPLETE
54,54,0.8000158027812896,2021-04-12 15:18:58.696568,2021-04-12 15:19:01.248578,0 days 00:00:02.552010,1.7991784333445953,0.7,0.8377181017411113,0.018,13,270,200,0.7,COMPLETE
55,55,0.8000158027812896,2021-04-12 15:19:01.249578,2021-04-12 15:19:03.727748,0 days 00:00:02.478170,0.9880111198040306,0.7,0.19064724232894867,0.018,13,147,200,0.7,COMPLETE
56,56,0.8000158027812896,2021-04-12 15:19:03.728750,2021-04-12 15:19:05.885559,0 days 00:00:02.156809,6.005296567507956,0.7,0.3772664783482798,0.009,13,167,200,0.7,COMPLETE
57,57,0.8000158027812896,2021-04-12 15:19:05.890703,2021-04-12 15:19:07.823791,0 days 00:00:01.933088,2.6339805977029096,0.7,0.2264773769583309,0.009,13,123,150,0.8,COMPLETE
58,58,0.8000158027812896,2021-04-12 15:19:07.824791,2021-04-12 15:19:10.979407,0 days 00:00:03.154616,0.002260053774975898,0.7,0.813261705223249,0.009,17,141,200,0.7,COMPLETE
59,59,0.8000158027812896,2021-04-12 15:19:10.980407,2021-04-12 15:19:13.035659,0 days 00:00:02.055252,0.023847884942539224,1.0,0.11287941383792624,0.009,13,238,200,0.7,COMPLETE
60,60,0.8000158027812896,2021-04-12 15:19:13.035659,2021-04-12 15:19:14.891642,0 days 00:00:01.855983,0.008469931308000023,0.5,0.36703767825059325,0.008,9,118,150,0.7,COMPLETE
61,61,0.8000158027812896,2021-04-12 15:19:14.892642,2021-04-12 15:19:18.257953,0 days 00:00:03.365311,0.004111662301598008,0.9,0.00559883203555705,0.012,17,96,200,1.0,COMPLETE
62,62,0.8000158027812896,2021-04-12 15:19:18.258953,2021-04-12 15:19:21.905992,0 days 00:00:03.647039,0.14668091137874764,0.5,0.007530298468390451,0.01,4,103,300,1.0,COMPLETE
63,63,0.8000158027812896,2021-04-12 15:19:21.906981,2021-04-12 15:19:25.877738,0 days 00:00:03.970757,0.17644909139810808,0.9,0.0039808686974775725,0.01,4,75,300,1.0,COMPLETE
64,64,0.8000158027812896,2021-04-12 15:19:25.878739,2021-04-12 15:19:29.531285,0 days 00:00:03.652546,0.21037644560020066,0.5,0.008976388109824995,0.012,7,128,300,0.6,COMPLETE
65,65,0.8000158027812896,2021-04-12 15:19:29.532328,2021-04-12 15:19:33.583755,0 days 00:00:04.051427,0.5310777801692095,0.5,0.014877499597835912,0.008,7,112,300,0.6,COMPLETE
66,66,0.8000158027812896,2021-04-12 15:19:33.584755,2021-04-12 15:20:08.680584,0 days 00:00:35.095829,0.07174699302010958,0.8,0.009047547653837936,0.014,9,87,3000,1.0,COMPLETE
67,67,0.8000158027812896,2021-04-12 15:20:08.680584,2021-04-12 15:20:44.434069,0 days 00:00:35.753485,0.20956245182068597,0.9,0.0015209414195327404,0.012,7,44,3000,1.0,COMPLETE
68,68,0.8000158027812896,2021-04-12 15:20:44.436070,2021-04-12 15:21:17.055639,0 days 00:00:32.619569,0.3750866794133932,0.6,0.01878713222083352,0.014,9,66,3000,1.0,COMPLETE
69,69,0.8000158027812896,2021-04-12 15:21:17.056748,2021-04-12 15:21:51.498376,0 days 00:00:34.441628,0.8002361207067574,0.5,0.00602589111291898,0.014,9,42,3000,1.0,COMPLETE
70,70,0.8000158027812896,2021-04-12 15:21:51.499377,2021-04-12 15:22:23.088352,0 days 00:00:31.588975,0.26008826458386025,1.0,0.004207841541874517,0.014,5,53,3000,1.0,COMPLETE
71,71,0.8000158027812896,2021-04-12 15:22:23.089353,2021-04-12 15:22:26.823698,0 days 00:00:03.734345,0.11670944343634004,0.8,0.02413552128582302,0.014,4,24,200,0.6,COMPLETE
72,72,0.8000158027812896,2021-04-12 15:22:26.824700,2021-04-12 15:22:29.979814,0 days 00:00:03.155114,0.009897304793550768,0.8,6.166532585123393,0.014,4,34,200,0.6,COMPLETE
73,73,0.8000158027812896,2021-04-12 15:22:29.980815,2021-04-12 15:22:32.256955,0 days 00:00:02.276140,4.466724645191428,0.7,0.07654023461036666,0.009,17,206,150,0.7,COMPLETE
74,74,0.8000158027812896,2021-04-12 15:22:32.257954,2021-04-12 15:22:34.191503,0 days 00:00:01.933549,1.9366997165694997,0.7,0.6881042559471519,0.018,13,185,150,0.7,COMPLETE
75,75,0.8000158027812896,2021-04-12 15:22:34.192504,2021-04-12 15:22:36.127578,0 days 00:00:01.935074,8.584209109691024,0.7,0.519755771071582,0.02,13,252,150,0.7,COMPLETE
76,76,0.8000158027812896,2021-04-12 15:22:36.128579,2021-04-12 15:22:38.057893,0 days 00:00:01.929314,1.0875498633723664,0.7,0.9691322639672879,0.009,13,182,150,0.7,COMPLETE
77,77,0.8000158027812896,2021-04-12 15:22:38.058893,2021-04-12 15:22:40.073387,0 days 00:00:02.014494,0.08805288130154211,0.7,0.1749953785260119,0.018,13,150,150,0.7,COMPLETE
78,78,0.8000158027812896,2021-04-12 15:22:40.074389,2021-04-12 15:22:42.013937,0 days 00:00:01.939548,1.3616183754879707,0.7,0.4905656576900466,0.009,13,286,150,0.7,COMPLETE
79,79,0.8000158027812896,2021-04-12 15:22:42.014937,2021-04-12 15:22:44.686282,0 days 00:00:02.671345,5.706731353220481,0.7,0.32621196000039576,0.009,13,159,200,0.7,COMPLETE
80,80,0.8000158027812896,2021-04-12 15:22:44.687283,2021-04-12 15:23:18.184293,0 days 00:00:33.497010,2.8902358286397605,0.7,0.26007056981950044,0.009,13,170,3000,0.8,COMPLETE
81,81,0.8000158027812896,2021-04-12 15:23:18.185294,2021-04-12 15:23:20.516439,0 days 00:00:02.331145,0.027001113430894626,1.0,0.19737700376724737,0.009,13,235,200,0.8,COMPLETE
82,82,0.8000158027812896,2021-04-12 15:23:20.517439,2021-04-12 15:23:23.564045,0 days 00:00:03.046606,0.019692938266652752,1.0,0.10563774060822904,0.009,17,150,200,0.8,COMPLETE
83,83,0.8000158027812896,2021-04-12 15:23:23.565047,2021-04-12 15:23:25.870997,0 days 00:00:02.305950,2.405051567448723,1.0,0.8054193979948798,0.008,17,117,150,0.7,COMPLETE
84,84,0.8000158027812896,2021-04-12 15:23:25.871998,2021-04-12 15:23:27.900174,0 days 00:00:02.028176,3.860369541236265,0.7,0.3614911083707407,0.009,13,123,150,0.7,COMPLETE
85,85,0.8000158027812896,2021-04-12 15:23:27.901173,2021-04-12 15:23:31.055197,0 days 00:00:03.154024,0.005268217250225,0.9,1.0481477213697723,0.012,17,140,200,0.8,COMPLETE
86,86,0.8000158027812896,2021-04-12 15:23:31.056279,2021-04-12 15:23:34.241317,0 days 00:00:03.185038,0.0036673986672411635,0.9,0.1177189919617419,0.008,17,100,200,0.7,COMPLETE
87,87,0.8000158027812896,2021-04-12 15:23:34.242317,2021-04-12 15:23:36.605587,0 days 00:00:02.363270,0.005201941409142739,0.5,0.43005340104329265,0.01,17,99,150,0.8,COMPLETE
88,88,0.8000158027812896,2021-04-12 15:23:36.607678,2021-04-12 15:23:38.878419,0 days 00:00:02.270741,0.00893688982833818,0.9,0.003857380109697826,0.01,4,78,150,1.0,COMPLETE
89,89,0.8000158027812896,2021-04-12 15:23:38.880421,2021-04-12 15:23:40.834104,0 days 00:00:01.953683,0.0029188500649143237,0.9,0.002589149644668168,0.01,4,159,150,1.0,COMPLETE
90,90,0.8000158027812896,2021-04-12 15:23:40.835104,2021-04-12 15:23:44.661412,0 days 00:00:03.826308,0.15042226909719186,0.5,0.0048676247114877525,0.012,11,126,300,1.0,COMPLETE
91,91,0.8000158027812896,2021-04-12 15:23:44.662414,2021-04-12 15:23:48.571452,0 days 00:00:03.909038,0.6190608370921198,0.5,0.011123729377123434,0.008,7,128,300,0.6,COMPLETE
92,92,0.8000158027812896,2021-04-12 15:23:48.572454,2021-04-12 15:23:52.497019,0 days 00:00:03.924565,0.08627527317229369,0.5,0.007816852700205868,0.012,7,86,300,1.0,COMPLETE
93,93,0.8000158027812896,2021-04-12 15:23:52.498019,2021-04-12 15:23:56.330362,0 days 00:00:03.832343,0.1331150534966473,0.5,0.0029601856429757978,0.01,7,95,300,1.0,COMPLETE
94,94,0.8000158027812896,2021-04-12 15:23:56.331362,2021-04-12 15:24:28.952268,0 days 00:00:32.620906,0.2056718065802137,0.9,0.0017469970778281026,0.012,7,78,3000,1.0,COMPLETE
95,95,0.8000158027812896,2021-04-12 15:24:28.953268,2021-04-12 15:25:01.329596,0 days 00:00:32.376328,0.5792776757574537,0.5,0.0106650420427695,0.012,9,66,3000,1.0,COMPLETE
96,96,0.8000158027812896,2021-04-12 15:25:01.330597,2021-04-12 15:25:35.844232,0 days 00:00:34.513635,0.3631081246551989,0.9,0.01666577959537812,0.012,9,42,3000,1.0,COMPLETE
97,97,0.8000158027812896,2021-04-12 15:25:35.845232,2021-04-12 15:26:07.690094,0 days 00:00:31.844862,0.8149968729711125,0.5,0.01587511896255674,0.014,7,89,3000,1.0,COMPLETE
98,98,0.8000158027812896,2021-04-12 15:26:07.691094,2021-04-12 15:26:39.805478,0 days 00:00:32.114384,0.23523333082094694,0.6,0.0018396762230047162,0.014,9,61,3000,1.0,COMPLETE
99,99,0.7964680783817952,2021-04-12 15:26:39.807565,2021-04-12 15:27:21.151894,0 days 00:00:41.344329,0.42403821876244335,0.8,0.025389774869996492,0.014,7,25,3000,0.6,COMPLETE
