id,school,degree,time_start,time_end
00e17ef5-23cb-4bb8-acba-1024856c6832,University of California San Diego,"Master of Science - MS, Chemistry",2015,2017
00e47e20-6bee-4478-a705-66bcb0a008e9,CSUSM College of Business,,2006 – 2011,
00f46ffd-7f8e-4a34-b1e2-8c630ce7ddbe,Texas A&M University-Kingsville,"Master's degree, Mechanical Engineering",2014,2016
00f46ffd-7f8e-4a34-b1e2-8c630ce7ddbe,University of Mumbai,"Bachelor's degree, Mechanical Engineering",2008,2012
00f73632-e992-4cf4-af1e-d6e447701298,University of South Carolina-Columbia,"Bachelor of Science (BS), Chemistry; Biology",2010,2013
01049889-6b3c-47c4-ae1d-a387cfdd15e2,FIA - Diploma in Accounting and Business,Accounting and Business/Management,2013,2013
01049889-6b3c-47c4-ae1d-a387cfdd15e2,IAB - International Association of Bookkeepers,"Certificate in Bookkeeping, IAB Certificate in Bookkeeping, Level 3",2012,2013
01049889-6b3c-47c4-ae1d-a387cfdd15e2,The Academy of Hotel Management and Catering Industry,"Diploma in Hotel Management, Management in Hotel and Catering",2001,2004
010d1c79-4c6b-42be-99c3-745f3a93293a,California State University-Sacramento,"Bachelor of Science, Accounting",1982,1989
010d1c79-4c6b-42be-99c3-745f3a93293a,Embry-Riddle Aeronautical University,"MBA, Business Administration",1994,1997
010d1c79-4c6b-42be-99c3-745f3a93293a,Golden Gate University,"Graduate Certificate of Taxation, Taxation",2010,2013
010d1c79-4c6b-42be-99c3-745f3a93293a,Golden Gate University,"Masters, Taxation",2004,2013
0115d672-8a54-4214-a13e-56672f50c7a9,Duke University,"Masters, Engineering Management",2011,2013
0115d672-8a54-4214-a13e-56672f50c7a9,International School of Beijing,International Baccalaureate Diploma,1997,2006
0115d672-8a54-4214-a13e-56672f50c7a9,"University of California, San Diego","BS, Mechanical Engineering",2006,2010
0117572e-9a43-49b1-ad20-06e26db2f4c9,University of San Diego,"B.S./B.A, Mechanical Engineering",2009,2013
0117572e-9a43-49b1-ad20-06e26db2f4c9,University of San Diego,"B.S./B.A, Mechanical Engineering",2009,2013
0121a4e5-e6b9-4815-ab8c-62d3bbd22547,Imperial Valley College,Psychology,,
0121a4e5-e6b9-4815-ab8c-62d3bbd22547,San Diego State University-Imperial Valley Campus,Psychology,,
012c54dd-e5a0-4e0e-91d1-ae8977358ac5,California State University San Marcos,"B.A., Political Science",2002,2005
012c54dd-e5a0-4e0e-91d1-ae8977358ac5,UC San Diego,"Professional Certificate, Accounting",2006,2007
01443299-8f81-48d1-82ef-d0080e6edd29,Jersey college for girls,,,
014a9d2a-bddb-48e1-b0fc-4b4b90fe8e33,"University of California, San Diego","Bachelor of Science (BS), Management Science",,
014bee1e-95ab-4b91-b6c1-3771ac99837a,UCSD,"Bachelor's degree, Psychology",1992,1996
014bee1e-95ab-4b91-b6c1-3771ac99837a,UCSD,"Bachelor's degree, Psychology",1992,1996
01511f02-168f-4f8e-a93f-d60ef1508529,County College of Morris,,,
01511f02-168f-4f8e-a93f-d60ef1508529,S.U.N.Y. College at Cortland,,,
