,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
29,29,0.616167290886392,2021-04-16 00:17:24.467922,2021-04-16 00:17:24.689174,0 days 00:00:00.221252,0.45291639554246804,0.001,46,373,10000.0,25,0.0,20.0,0.4162118955217206,COMPLETE
30,30,0.8035955056179775,2021-04-16 00:17:24.690174,2021-04-16 00:17:25.202640,0 days 00:00:00.512466,0.4650868444256106,0.1,35,239,0.001,50,0.0,20.0,0.4877287682066554,COMPLETE
31,31,0.616167290886392,2021-04-16 00:17:25.203641,2021-04-16 00:17:25.443338,0 days 00:00:00.239697,0.4824308157181438,0.1,47,314,0.01,31,100.0,20.0,0.7831442803226655,COMPLETE
32,32,0.8170536828963796,2021-04-16 00:17:25.444338,2021-04-16 00:17:26.017062,0 days 00:00:00.572724,0.5051067775473688,0.1,42,352,0.01,39,0.0,20.0,0.6424934521252369,COMPLETE
33,33,0.8215480649188514,2021-04-16 00:17:26.018062,2021-04-16 00:17:26.560057,0 days 00:00:00.541995,0.43840426124449333,0.1,48,290,0.01,31,1.0,10.0,0.7355674518939386,COMPLETE
34,34,0.8058551810237203,2021-04-16 00:17:26.561058,2021-04-16 00:17:26.999465,0 days 00:00:00.438407,0.44383764270068593,0.1,39,298,0.01,27,0.0,100.0,0.6985738169964348,COMPLETE
35,35,0.7789513108614232,2021-04-16 00:17:27.000467,2021-04-16 00:17:27.298951,0 days 00:00:00.298484,0.4207158115744686,0.1,43,236,0.01,36,10.0,10.0,0.7366261944679892,COMPLETE
36,36,0.8091885143570536,2021-04-16 00:17:27.299952,2021-04-16 00:17:27.733048,0 days 00:00:00.433096,0.4339613196833556,0.1,47,404,1.0,30,2.0,10.0,0.6174520505392178,COMPLETE
37,37,0.616167290886392,2021-04-16 00:17:27.734048,2021-04-16 00:17:27.975291,0 days 00:00:00.241243,0.47628278133739516,0.1,34,289,100.0,42,0.1,10.0,0.369236159117119,COMPLETE
38,38,0.8058426966292135,2021-04-16 00:17:27.976292,2021-04-16 00:17:28.467739,0 days 00:00:00.491447,0.4627037582024903,0.1,27,365,0.01,16,0.0,10.0,0.2778336454285215,COMPLETE
39,39,0.8137078651685392,2021-04-16 00:17:28.468740,2021-04-16 00:17:28.850546,0 days 00:00:00.381806,0.4452344410946462,0.1,39,383,1e-05,47,5.0,1.0,0.6807112374076087,COMPLETE
40,40,0.616167290886392,2021-04-16 00:17:28.851547,2021-04-16 00:17:29.073750,0 days 00:00:00.222203,0.4254148026770222,0.1,32,240,1000.0,26,10.0,0.1,0.5251560309369157,COMPLETE
41,41,0.8103121098626718,2021-04-16 00:17:29.074751,2021-04-16 00:17:29.584512,0 days 00:00:00.509761,0.5002896512633235,0.1,48,310,0.01,33,1.0,20.0,0.7557517605817927,COMPLETE
42,42,0.8249188514357053,2021-04-16 00:17:29.585512,2021-04-16 00:17:30.161408,0 days 00:00:00.575896,0.48499721045417504,0.1,44,326,0.01,31,1.0,10.0,0.7522627809043713,COMPLETE
43,43,0.8181772784019975,2021-04-16 00:17:30.162408,2021-04-16 00:17:30.685204,0 days 00:00:00.522796,0.4867335958517455,0.1,44,278,0.1,39,1.0,10.0,0.6820194926237921,COMPLETE
44,44,0.8237952559300874,2021-04-16 00:17:30.686205,2021-04-16 00:17:31.224440,0 days 00:00:00.538235,0.45707279178060023,0.1,47,324,0.01,33,1.0,10.0,0.7445082339831779,COMPLETE
45,45,0.789076154806492,2021-04-16 00:17:31.225441,2021-04-16 00:17:31.715987,0 days 00:00:00.490546,0.45985357861489917,0.01,47,177,0.01,29,1.0,10.0,0.74532969516575,COMPLETE
46,46,0.7968664169787765,2021-04-16 00:17:31.716987,2021-04-16 00:17:32.069294,0 days 00:00:00.352307,0.47479787095346904,0.1,41,408,1.0,22,7.0,5.0,0.6735373659283396,COMPLETE
47,47,0.616167290886392,2021-04-16 00:17:32.070295,2021-04-16 00:17:32.299321,0 days 00:00:00.229026,0.40880668246115054,0.1,50,323,100.0,32,1.0,10.0,0.5599868449955001,COMPLETE
48,48,0.7823720349563047,2021-04-16 00:17:32.301323,2021-04-16 00:17:32.666792,0 days 00:00:00.365469,0.49698219852960657,0.01,38,355,10.0,41,2.0,0.0,0.7626808949378049,COMPLETE
49,49,0.7699875156054932,2021-04-16 00:17:32.667792,2021-04-16 00:17:33.058833,0 days 00:00:00.391041,0.4517989225467506,0.001,48,210,0.01,34,1.0,10.0,0.21161427707615854,COMPLETE
50,50,0.8148189762796505,2021-04-16 00:17:33.059833,2021-04-16 00:17:33.563606,0 days 00:00:00.503773,0.4386082097460689,0.1,43,283,1e-05,27,1.0,10.0,0.5898015656305602,COMPLETE
51,51,0.8193008739076154,2021-04-16 00:17:33.565597,2021-04-16 00:17:34.197182,0 days 00:00:00.631585,0.4682689259101963,0.1,10,318,0.01,37,0.0,10.0,0.718953373182292,COMPLETE
52,52,0.8058302122347067,2021-04-16 00:17:34.198183,2021-04-16 00:17:34.538493,0 days 00:00:00.340310,0.42856898065883664,0.1,46,257,0.01,31,5.0,1.0,0.7998677365259642,COMPLETE
53,53,0.8193008739076155,2021-04-16 00:17:34.539493,2021-04-16 00:17:35.158056,0 days 00:00:00.618563,0.4807718419595157,0.1,44,301,0.01,36,0.0,10.0,0.6340308300082275,COMPLETE
54,54,0.8215480649188514,2021-04-16 00:17:35.159057,2021-04-16 00:17:35.727709,0 days 00:00:00.568652,0.4566704081038563,0.1,50,327,0.01,33,1.0,10.0,0.7596137454480564,COMPLETE
55,55,0.616167290886392,2021-04-16 00:17:35.727709,2021-04-16 00:17:35.967597,0 days 00:00:00.239888,0.45035272896740064,0.1,50,250,10000.0,29,1.0,10.0,0.7438607681434555,COMPLETE
56,56,0.7868164794007491,2021-04-16 00:17:35.968597,2021-04-16 00:17:36.249409,0 days 00:00:00.280812,0.45474489108459537,0.1,40,327,0.01,34,50.0,50.0,0.7996664629457916,COMPLETE
57,57,0.8204244694132334,2021-04-16 00:17:36.250408,2021-04-16 00:17:36.774708,0 days 00:00:00.524300,0.46573295910140605,0.1,49,356,0.01,32,1.0,10.0,0.6961497460491102,COMPLETE
58,58,0.8159425717852683,2021-04-16 00:17:36.775709,2021-04-16 00:17:37.292927,0 days 00:00:00.517218,0.4448527349636194,0.1,46,419,0.1,30,1.0,10.0,0.661051250413062,COMPLETE
59,59,0.616167290886392,2021-04-16 00:17:37.293929,2021-04-16 00:17:37.535149,0 days 00:00:00.241220,0.4926214751483341,0.1,42,384,0.001,40,100.0,20.0,0.7710577792698985,COMPLETE
60,60,0.7868164794007491,2021-04-16 00:17:37.536150,2021-04-16 00:17:37.955743,0 days 00:00:00.419593,0.5140101174751369,0.01,28,340,0.01,37,0.0,100.0,0.6152291924807121,COMPLETE
61,61,0.8283021223470662,2021-04-16 00:17:37.956744,2021-04-16 00:17:38.599123,0 days 00:00:00.642379,0.44025078803181916,0.1,48,297,0.01,33,1.0,0.1,0.7114714345674509,COMPLETE
62,62,0.8237952559300874,2021-04-16 00:17:38.601124,2021-04-16 00:17:39.250021,0 days 00:00:00.648897,0.43888875632579144,0.1,48,303,0.01,35,1.0,0.1,0.7246874847337104,COMPLETE
63,63,0.8092134831460674,2021-04-16 00:17:39.251021,2021-04-16 00:17:39.594218,0 days 00:00:00.343197,0.44222100652667506,0.1,45,309,0.01,35,7.0,0.1,0.7077748783371688,COMPLETE
64,64,0.823832709113608,2021-04-16 00:17:39.595219,2021-04-16 00:17:40.240806,0 days 00:00:00.645587,0.45950864225247684,0.1,50,224,0.01,33,1.0,0.1,0.6518970799426664,COMPLETE
65,65,0.8238077403245943,2021-04-16 00:17:40.242808,2021-04-16 00:17:40.868377,0 days 00:00:00.625569,0.4484537083932797,0.1,47,145,0.01,35,1.0,0.1,0.6549292511537604,COMPLETE
66,66,0.616167290886392,2021-04-16 00:17:40.869377,2021-04-16 00:17:41.089578,0 days 00:00:00.220201,0.43061710732276,0.1,49,162,1000.0,35,1.0,0.1,0.5882503559635808,COMPLETE
67,67,0.8226841448189763,2021-04-16 00:17:41.090579,2021-04-16 00:17:41.607280,0 days 00:00:00.516701,0.41948183014356605,0.1,46,100,0.01,38,1.0,0.1,0.5332440387298778,COMPLETE
68,68,0.8025468164794007,2021-04-16 00:17:41.608281,2021-04-16 00:17:42.267884,0 days 00:00:00.659603,0.44031256018472875,0.001,44,223,0.01,28,1.0,0.1,0.6501901737379799,COMPLETE
69,69,0.7991136079900125,2021-04-16 00:17:42.268884,2021-04-16 00:17:42.641644,0 days 00:00:00.372760,0.4342944682878643,0.1,48,139,10.0,30,0.1,0.1,0.4507154248801192,COMPLETE
70,70,0.82270911360799,2021-04-16 00:17:42.642644,2021-04-16 00:17:43.316682,0 days 00:00:00.674038,0.47077878283443386,0.1,47,131,0.01,33,1.0,0.1,0.6303384737517643,COMPLETE
71,71,0.8316853932584269,2021-04-16 00:17:43.317683,2021-04-16 00:17:44.011334,0 days 00:00:00.693651,0.45057578226122896,0.1,50,275,0.01,35,1.0,0.1,0.6985452628236869,COMPLETE
72,72,0.826067415730337,2021-04-16 00:17:44.014338,2021-04-16 00:17:44.657156,0 days 00:00:00.642818,0.4484749131168397,0.1,18,193,0.01,33,1.0,0.1,0.6878023885953587,COMPLETE
73,73,0.8294257178526842,2021-04-16 00:17:44.657156,2021-04-16 00:17:45.500673,0 days 00:00:00.843517,0.44909984219283355,0.1,14,196,0.01,36,1.0,0.1,0.673001391324645,COMPLETE
74,74,0.7912359550561797,2021-04-16 00:17:45.502675,2021-04-16 00:17:45.822978,0 days 00:00:00.320303,0.4621090474026792,0.1,14,191,0.01,38,10.0,0.1,0.6054079826415475,COMPLETE
75,75,0.616167290886392,2021-04-16 00:17:45.823978,2021-04-16 00:17:46.171961,0 days 00:00:00.347983,0.44838722662721797,0.1,17,198,10000.0,32,1.0,0.1,0.6949402799871113,COMPLETE
76,76,0.7419101123595505,2021-04-16 00:17:46.173978,2021-04-16 00:17:46.493510,0 days 00:00:00.319532,0.4243351815041965,0.1,16,222,0.01,36,50.0,0.1,0.6751601578644829,COMPLETE
77,77,0.8271785268414481,2021-04-16 00:17:46.494511,2021-04-16 00:17:47.064699,0 days 00:00:00.570188,0.45363622046244445,0.1,20,174,1.0,31,2.0,0.1,0.7985792484189707,COMPLETE
78,78,0.8271910112359551,2021-04-16 00:17:47.065700,2021-04-16 00:17:47.588725,0 days 00:00:00.523025,0.4519079272809568,0.1,22,173,1.0,28,2.0,0.1,0.7009756998781596,COMPLETE
79,79,0.8148314606741573,2021-04-16 00:17:47.589726,2021-04-16 00:17:48.019560,0 days 00:00:00.429834,0.41208385082668386,0.1,20,150,1.0,27,2.0,0.1,0.5744467000941758,COMPLETE
80,80,0.8204619225967541,2021-04-16 00:17:48.020560,2021-04-16 00:17:48.475802,0 days 00:00:00.455242,0.4277928654733976,0.1,22,170,1.0,24,2.0,0.1,0.7069569965821644,COMPLETE
81,81,0.8260549313358302,2021-04-16 00:17:48.476803,2021-04-16 00:17:48.972909,0 days 00:00:00.496106,0.4456825879995764,0.1,12,182,1.0,30,2.0,0.1,0.7996232299606258,COMPLETE
82,82,0.8294132334581773,2021-04-16 00:17:48.974908,2021-04-16 00:17:49.464445,0 days 00:00:00.489537,0.45117837029060887,0.1,11,173,1.0,30,2.0,0.1,0.7695547657903195,COMPLETE
83,83,0.8271660424469414,2021-04-16 00:17:49.465445,2021-04-16 00:17:50.031132,0 days 00:00:00.565687,0.45220821410039697,0.1,11,124,1.0,29,2.0,0.1,0.7599414152778069,COMPLETE
84,84,0.8294132334581773,2021-04-16 00:17:50.033150,2021-04-16 00:17:50.524720,0 days 00:00:00.491570,0.4515909666774438,0.1,11,184,1.0,26,2.0,0.1,0.7763099610959485,COMPLETE
85,85,0.8316604244694134,2021-04-16 00:17:50.524720,2021-04-16 00:17:51.016098,0 days 00:00:00.491378,0.45054807604308383,0.1,11,124,1.0,23,2.0,0.1,0.7763858765571421,COMPLETE
86,86,0.8294132334581773,2021-04-16 00:17:51.017099,2021-04-16 00:17:51.507789,0 days 00:00:00.490690,0.45315722897041333,0.1,11,115,1.0,22,2.0,0.1,0.7730678429716697,COMPLETE
87,87,0.8282896379525593,2021-04-16 00:17:51.510024,2021-04-16 00:17:51.998393,0 days 00:00:00.488369,0.4554696313589579,0.1,13,111,1.0,19,2.0,0.1,0.7779830350969738,COMPLETE
88,88,0.7800873907615481,2021-04-16 00:17:51.998393,2021-04-16 00:17:52.398230,0 days 00:00:00.399837,0.464977192275019,0.001,13,113,1.0,17,2.0,0.1,0.3185437482695818,COMPLETE
89,89,0.8271660424469414,2021-04-16 00:17:52.398230,2021-04-16 00:17:52.888614,0 days 00:00:00.490384,0.4352746357739541,0.1,10,114,1.0,21,2.0,0.1,0.7199271947423416,COMPLETE
90,90,0.8059051186017477,2021-04-16 00:17:52.888614,2021-04-16 00:17:53.417901,0 days 00:00:00.529287,0.4755166563655294,0.01,14,100,1.0,23,2.0,0.1,0.7741485030566922,COMPLETE
91,91,0.8294132334581773,2021-04-16 00:17:53.418924,2021-04-16 00:17:53.907984,0 days 00:00:00.489060,0.4546874579318263,0.1,25,156,1.0,16,2.0,0.1,0.7768124519346157,COMPLETE
92,92,0.8294132334581773,2021-04-16 00:17:53.913549,2021-04-16 00:17:54.478317,0 days 00:00:00.564768,0.4566114131787358,0.1,25,161,1.0,13,2.0,0.1,0.7765136716126061,COMPLETE
93,93,0.8282896379525593,2021-04-16 00:17:54.478317,2021-04-16 00:17:54.977939,0 days 00:00:00.499622,0.44274928933038793,0.1,11,158,1.0,11,2.0,0.1,0.7713561817322053,COMPLETE
94,94,0.8294382022471909,2021-04-16 00:17:54.978961,2021-04-16 00:17:55.568586,0 days 00:00:00.589625,0.44290104424141735,0.1,25,158,1.0,13,2.0,0.1,0.7323774366616681,COMPLETE
95,95,0.8305493133583021,2021-04-16 00:17:55.568586,2021-04-16 00:17:56.057459,0 days 00:00:00.488873,0.46800242906543477,0.1,25,136,1.0,15,2.0,0.0,0.7299569774708269,COMPLETE
96,96,0.828314606741573,2021-04-16 00:17:56.059481,2021-04-16 00:17:56.623283,0 days 00:00:00.563802,0.46854718718722854,0.1,25,134,1.0,13,2.0,0.0,0.7355294774388552,COMPLETE
97,97,0.832796504369538,2021-04-16 00:17:56.624284,2021-04-16 00:17:57.233949,0 days 00:00:00.609665,0.4598895591673816,0.1,25,153,1.0,6,2.0,0.0,0.7395832637174049,COMPLETE
98,98,0.8305493133583021,2021-04-16 00:17:57.234949,2021-04-16 00:17:57.795285,0 days 00:00:00.560336,0.47838862399126764,0.1,24,152,1.0,7,2.0,0.0,0.669737257993698,COMPLETE
99,99,0.8294382022471909,2021-04-16 00:17:57.796286,2021-04-16 00:17:58.380761,0 days 00:00:00.584475,0.47791112738635305,0.1,26,164,1.0,7,2.0,0.0,0.668802976162671,COMPLETE
100,100,0.828314606741573,2021-04-16 00:17:58.382762,2021-04-16 00:17:58.866718,0 days 00:00:00.483956,0.480878974133866,0.1,29,123,1.0,6,2.0,0.0,0.663423491927523,COMPLETE
101,101,0.8294257178526842,2021-04-16 00:17:58.867719,2021-04-16 00:17:59.349723,0 days 00:00:00.482004,0.4731298210123372,0.1,25,164,1.0,8,2.0,0.0,0.7370951942198978,COMPLETE
102,102,0.8271910112359551,2021-04-16 00:17:59.350723,2021-04-16 00:17:59.820460,0 days 00:00:00.469737,0.46390517902517936,0.1,25,150,1.0,8,2.0,0.0,0.6240699883108098,COMPLETE
103,103,0.8294382022471909,2021-04-16 00:17:59.821461,2021-04-16 00:18:00.318914,0 days 00:00:00.497453,0.47745101015539165,0.1,26,160,1.0,11,2.0,0.0,0.6776523341096311,COMPLETE
104,104,0.8305493133583021,2021-04-16 00:18:00.319914,2021-04-16 00:18:00.829293,0 days 00:00:00.509379,0.48861383182541773,0.1,27,168,1.0,10,2.0,0.0,0.6826059219207401,COMPLETE
105,105,0.8294382022471909,2021-04-16 00:18:00.830293,2021-04-16 00:18:01.370047,0 days 00:00:00.539754,0.4864228175780092,0.1,26,142,1.0,11,2.0,0.0,0.6767739287561202,COMPLETE
106,106,0.819338327091136,2021-04-16 00:18:01.371047,2021-04-16 00:18:01.911956,0 days 00:00:00.540909,0.48968264667638844,0.1,27,147,1.0,10,2.0,0.0,0.6351280866189444,COMPLETE
107,107,0.8283021223470662,2021-04-16 00:18:01.912956,2021-04-16 00:18:02.437217,0 days 00:00:00.524261,0.4874167875628074,0.1,27,139,1.0,6,2.0,0.0,0.72864940301962,COMPLETE
108,108,0.8238202247191012,2021-04-16 00:18:02.437217,2021-04-16 00:18:02.996621,0 days 00:00:00.559404,0.4784373473806644,0.1,24,165,1.0,8,2.0,0.0,0.6870833366945406,COMPLETE
109,109,0.832796504369538,2021-04-16 00:18:02.997622,2021-04-16 00:18:03.519097,0 days 00:00:00.521475,0.5007345850484779,0.1,26,203,1e-05,12,2.0,0.0,0.6711709329200837,COMPLETE
110,110,0.8226966292134831,2021-04-16 00:18:03.520097,2021-04-16 00:18:04.080608,0 days 00:00:00.560511,0.49908205744444134,0.1,29,129,1e-05,12,2.0,0.0,0.643880051109626,COMPLETE
111,111,0.8339200998751559,2021-04-16 00:18:04.081608,2021-04-16 00:18:04.657132,0 days 00:00:00.575524,0.5044048664745743,0.1,26,141,1e-05,10,2.0,0.0,0.6701849117935103,COMPLETE
112,112,0.8339200998751559,2021-04-16 00:18:04.659133,2021-04-16 00:18:05.191618,0 days 00:00:00.532485,0.5092603347126777,0.1,26,147,1e-05,10,2.0,0.0,0.6702897399058506,COMPLETE
113,113,0.8249313358302123,2021-04-16 00:18:05.193621,2021-04-16 00:18:05.879244,0 days 00:00:00.685623,0.5119610915766777,0.1,23,141,1e-05,9,2.0,0.0,0.599455699824014,COMPLETE
114,114,0.8294132334581772,2021-04-16 00:18:05.881245,2021-04-16 00:18:06.496316,0 days 00:00:00.615071,0.5053474553832815,0.1,31,122,1e-05,14,2.0,0.0,0.6560643956538101,COMPLETE
115,115,0.8294257178526842,2021-04-16 00:18:06.497317,2021-04-16 00:18:07.023205,0 days 00:00:00.525888,0.5235943932311823,0.1,28,153,1e-05,7,2.0,0.0,0.71002602578944,COMPLETE
116,116,0.616167290886392,2021-04-16 00:18:07.024720,2021-04-16 00:18:07.263167,0 days 00:00:00.238447,0.4963379444959797,0.1,26,134,1e-05,10,100.0,0.0,0.6168180684247042,COMPLETE
117,117,0.8282896379525593,2021-04-16 00:18:07.264168,2021-04-16 00:18:07.790490,0 days 00:00:00.526322,0.5114487466448222,0.1,23,104,1e-05,11,2.0,0.0,0.6906191021257168,COMPLETE
118,118,0.78458177278402,2021-04-16 00:18:07.791491,2021-04-16 00:18:08.231424,0 days 00:00:00.439933,0.5027282496829454,0.001,24,205,1e-05,14,5.0,0.0,0.6675831416449334,COMPLETE
119,119,0.616167290886392,2021-04-16 00:18:08.233426,2021-04-16 00:18:08.471107,0 days 00:00:00.237681,0.5395496492464895,0.01,26,140,100.0,10,2.0,0.0,0.5753083513000395,COMPLETE
120,120,0.832796504369538,2021-04-16 00:18:08.472108,2021-04-16 00:18:09.011335,0 days 00:00:00.539227,0.49561963980973034,0.1,30,181,1e-05,7,2.0,0.0,0.6766132623308376,COMPLETE
